,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
100,-0.5562,Tue Jun 12 00:19:23 +0000 2018,0.315,0.551,0.134,1,@CBS
101,0.5093,Mon Jun 11 22:23:06 +0000 2018,0.0,0.829,0.171,2,@CBS
102,-0.296,Mon Jun 11 19:01:38 +0000 2018,0.167,0.833,0.0,3,@CBS
103,0.0,Mon Jun 11 14:00:37 +0000 2018,0.0,1.0,0.0,4,@CBS
104,0.0,Mon Jun 11 06:19:36 +0000 2018,0.0,1.0,0.0,5,@CBS
105,0.4767,Mon Jun 11 06:04:41 +0000 2018,0.0,0.78,0.22,6,@CBS
106,0.8478,Mon Jun 11 03:10:33 +0000 2018,0.0,0.594,0.406,7,@CBS
107,0.92,Mon Jun 11 03:02:06 +0000 2018,0.0,0.537,0.463,8,@CBS
108,0.4404,Mon Jun 11 02:58:30 +0000 2018,0.088,0.737,0.175,9,@CBS
109,0.4404,Mon Jun 11 02:56:40 +0000 2018,0.0,0.847,0.153,10,@CBS
110,0.836,Mon Jun 11 02:56:10 +0000 2018,0.0,0.533,0.467,11,@CBS
111,0.0,Mon Jun 11 02:53:00 +0000 2018,0.0,1.0,0.0,12,@CBS
112,0.6369,Mon Jun 11 02:47:29 +0000 2018,0.0,0.682,0.318,13,@CBS
113,0.7978,Mon Jun 11 02:44:50 +0000 2018,0.0,0.457,0.543,14,@CBS
114,0.9523,Mon Jun 11 02:44:37 +0000 2018,0.0,0.484,0.516,15,@CBS
115,0.5994,Mon Jun 11 02:33:09 +0000 2018,0.0,0.698,0.302,16,@CBS
116,0.4215,Mon Jun 11 02:29:18 +0000 2018,0.0,0.877,0.123,17,@CBS
117,0.8932,Mon Jun 11 02:23:56 +0000 2018,0.0,0.483,0.517,18,@CBS
118,0.0,Mon Jun 11 02:21:03 +0000 2018,0.0,1.0,0.0,19,@CBS
119,0.0,Mon Jun 11 02:16:06 +0000 2018,0.0,1.0,0.0,20,@CBS
120,-0.5562,Tue Jun 12 00:19:23 +0000 2018,0.315,0.551,0.134,21,@CBS
121,0.5093,Mon Jun 11 22:23:06 +0000 2018,0.0,0.829,0.171,22,@CBS
122,-0.296,Mon Jun 11 19:01:38 +0000 2018,0.167,0.833,0.0,23,@CBS
123,0.0,Mon Jun 11 14:00:37 +0000 2018,0.0,1.0,0.0,24,@CBS
124,0.0,Mon Jun 11 06:19:36 +0000 2018,0.0,1.0,0.0,25,@CBS
125,0.4767,Mon Jun 11 06:04:41 +0000 2018,0.0,0.78,0.22,26,@CBS
126,0.8478,Mon Jun 11 03:10:33 +0000 2018,0.0,0.594,0.406,27,@CBS
127,0.92,Mon Jun 11 03:02:06 +0000 2018,0.0,0.537,0.463,28,@CBS
128,0.4404,Mon Jun 11 02:58:30 +0000 2018,0.088,0.737,0.175,29,@CBS
129,0.4404,Mon Jun 11 02:56:40 +0000 2018,0.0,0.847,0.153,30,@CBS
130,0.836,Mon Jun 11 02:56:10 +0000 2018,0.0,0.533,0.467,31,@CBS
131,0.0,Mon Jun 11 02:53:00 +0000 2018,0.0,1.0,0.0,32,@CBS
132,0.6369,Mon Jun 11 02:47:29 +0000 2018,0.0,0.682,0.318,33,@CBS
133,0.7978,Mon Jun 11 02:44:50 +0000 2018,0.0,0.457,0.543,34,@CBS
134,0.9523,Mon Jun 11 02:44:37 +0000 2018,0.0,0.484,0.516,35,@CBS
135,0.5994,Mon Jun 11 02:33:09 +0000 2018,0.0,0.698,0.302,36,@CBS
136,0.4215,Mon Jun 11 02:29:18 +0000 2018,0.0,0.877,0.123,37,@CBS
137,0.8932,Mon Jun 11 02:23:56 +0000 2018,0.0,0.483,0.517,38,@CBS
138,0.0,Mon Jun 11 02:21:03 +0000 2018,0.0,1.0,0.0,39,@CBS
139,0.0,Mon Jun 11 02:16:06 +0000 2018,0.0,1.0,0.0,40,@CBS
140,-0.5562,Tue Jun 12 00:19:23 +0000 2018,0.315,0.551,0.134,41,@CBS
141,0.5093,Mon Jun 11 22:23:06 +0000 2018,0.0,0.829,0.171,42,@CBS
142,-0.296,Mon Jun 11 19:01:38 +0000 2018,0.167,0.833,0.0,43,@CBS
143,0.0,Mon Jun 11 14:00:37 +0000 2018,0.0,1.0,0.0,44,@CBS
144,0.0,Mon Jun 11 06:19:36 +0000 2018,0.0,1.0,0.0,45,@CBS
145,0.4767,Mon Jun 11 06:04:41 +0000 2018,0.0,0.78,0.22,46,@CBS
146,0.8478,Mon Jun 11 03:10:33 +0000 2018,0.0,0.594,0.406,47,@CBS
147,0.92,Mon Jun 11 03:02:06 +0000 2018,0.0,0.537,0.463,48,@CBS
148,0.4404,Mon Jun 11 02:58:30 +0000 2018,0.088,0.737,0.175,49,@CBS
149,0.4404,Mon Jun 11 02:56:40 +0000 2018,0.0,0.847,0.153,50,@CBS
150,0.836,Mon Jun 11 02:56:10 +0000 2018,0.0,0.533,0.467,51,@CBS
151,0.0,Mon Jun 11 02:53:00 +0000 2018,0.0,1.0,0.0,52,@CBS
152,0.6369,Mon Jun 11 02:47:29 +0000 2018,0.0,0.682,0.318,53,@CBS
153,0.7978,Mon Jun 11 02:44:50 +0000 2018,0.0,0.457,0.543,54,@CBS
154,0.9523,Mon Jun 11 02:44:37 +0000 2018,0.0,0.484,0.516,55,@CBS
155,0.5994,Mon Jun 11 02:33:09 +0000 2018,0.0,0.698,0.302,56,@CBS
156,0.4215,Mon Jun 11 02:29:18 +0000 2018,0.0,0.877,0.123,57,@CBS
157,0.8932,Mon Jun 11 02:23:56 +0000 2018,0.0,0.483,0.517,58,@CBS
158,0.0,Mon Jun 11 02:21:03 +0000 2018,0.0,1.0,0.0,59,@CBS
159,0.0,Mon Jun 11 02:16:06 +0000 2018,0.0,1.0,0.0,60,@CBS
160,-0.5562,Tue Jun 12 00:19:23 +0000 2018,0.315,0.551,0.134,61,@CBS
161,0.5093,Mon Jun 11 22:23:06 +0000 2018,0.0,0.829,0.171,62,@CBS
162,-0.296,Mon Jun 11 19:01:38 +0000 2018,0.167,0.833,0.0,63,@CBS
163,0.0,Mon Jun 11 14:00:37 +0000 2018,0.0,1.0,0.0,64,@CBS
164,0.0,Mon Jun 11 06:19:36 +0000 2018,0.0,1.0,0.0,65,@CBS
165,0.4767,Mon Jun 11 06:04:41 +0000 2018,0.0,0.78,0.22,66,@CBS
166,0.8478,Mon Jun 11 03:10:33 +0000 2018,0.0,0.594,0.406,67,@CBS
167,0.92,Mon Jun 11 03:02:06 +0000 2018,0.0,0.537,0.463,68,@CBS
168,0.4404,Mon Jun 11 02:58:30 +0000 2018,0.088,0.737,0.175,69,@CBS
169,0.4404,Mon Jun 11 02:56:40 +0000 2018,0.0,0.847,0.153,70,@CBS
170,0.836,Mon Jun 11 02:56:10 +0000 2018,0.0,0.533,0.467,71,@CBS
171,0.0,Mon Jun 11 02:53:00 +0000 2018,0.0,1.0,0.0,72,@CBS
172,0.6369,Mon Jun 11 02:47:29 +0000 2018,0.0,0.682,0.318,73,@CBS
173,0.7978,Mon Jun 11 02:44:50 +0000 2018,0.0,0.457,0.543,74,@CBS
174,0.9523,Mon Jun 11 02:44:37 +0000 2018,0.0,0.484,0.516,75,@CBS
175,0.5994,Mon Jun 11 02:33:09 +0000 2018,0.0,0.698,0.302,76,@CBS
176,0.4215,Mon Jun 11 02:29:18 +0000 2018,0.0,0.877,0.123,77,@CBS
