,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
400,-0.5574,Wed Jun 13 03:36:04 +0000 2018,0.141,0.859,0.0,1,@nytimes
401,0.4019,Wed Jun 13 03:22:01 +0000 2018,0.0,0.803,0.197,2,@nytimes
402,0.0,Wed Jun 13 03:11:03 +0000 2018,0.0,1.0,0.0,3,@nytimes
403,0.0,Wed Jun 13 03:02:03 +0000 2018,0.0,1.0,0.0,4,@nytimes
404,0.0,Wed Jun 13 02:51:02 +0000 2018,0.0,1.0,0.0,5,@nytimes
405,-0.128,Wed Jun 13 02:43:30 +0000 2018,0.081,0.919,0.0,6,@nytimes
406,0.0,Wed Jun 13 02:32:04 +0000 2018,0.0,1.0,0.0,7,@nytimes
407,0.4019,Wed Jun 13 02:21:04 +0000 2018,0.0,0.903,0.097,8,@nytimes
408,0.0,Wed Jun 13 02:12:03 +0000 2018,0.0,1.0,0.0,9,@nytimes
409,0.7003,Wed Jun 13 02:02:05 +0000 2018,0.0,0.734,0.266,10,@nytimes
410,0.0,Wed Jun 13 01:47:04 +0000 2018,0.0,1.0,0.0,11,@nytimes
411,0.0,Wed Jun 13 01:32:03 +0000 2018,0.0,1.0,0.0,12,@nytimes
412,0.0,Wed Jun 13 01:22:00 +0000 2018,0.0,1.0,0.0,13,@nytimes
413,0.0,Wed Jun 13 01:14:05 +0000 2018,0.0,1.0,0.0,14,@nytimes
414,0.0,Wed Jun 13 01:02:06 +0000 2018,0.0,1.0,0.0,15,@nytimes
415,0.0516,Wed Jun 13 00:47:05 +0000 2018,0.102,0.787,0.11,16,@nytimes
416,-0.4939,Wed Jun 13 00:42:46 +0000 2018,0.132,0.868,0.0,17,@nytimes
417,0.6369,Wed Jun 13 00:32:02 +0000 2018,0.0,0.729,0.271,18,@nytimes
418,-0.5106,Wed Jun 13 00:02:04 +0000 2018,0.18,0.82,0.0,19,@nytimes
419,0.0,Tue Jun 12 23:47:01 +0000 2018,0.0,1.0,0.0,20,@nytimes
420,-0.5574,Wed Jun 13 03:36:04 +0000 2018,0.141,0.859,0.0,21,@nytimes
421,0.4019,Wed Jun 13 03:22:01 +0000 2018,0.0,0.803,0.197,22,@nytimes
422,0.0,Wed Jun 13 03:11:03 +0000 2018,0.0,1.0,0.0,23,@nytimes
423,0.0,Wed Jun 13 03:02:03 +0000 2018,0.0,1.0,0.0,24,@nytimes
424,0.0,Wed Jun 13 02:51:02 +0000 2018,0.0,1.0,0.0,25,@nytimes
425,-0.128,Wed Jun 13 02:43:30 +0000 2018,0.081,0.919,0.0,26,@nytimes
426,0.0,Wed Jun 13 02:32:04 +0000 2018,0.0,1.0,0.0,27,@nytimes
427,0.4019,Wed Jun 13 02:21:04 +0000 2018,0.0,0.903,0.097,28,@nytimes
428,0.0,Wed Jun 13 02:12:03 +0000 2018,0.0,1.0,0.0,29,@nytimes
429,0.7003,Wed Jun 13 02:02:05 +0000 2018,0.0,0.734,0.266,30,@nytimes
430,0.0,Wed Jun 13 01:47:04 +0000 2018,0.0,1.0,0.0,31,@nytimes
431,0.0,Wed Jun 13 01:32:03 +0000 2018,0.0,1.0,0.0,32,@nytimes
432,0.0,Wed Jun 13 01:22:00 +0000 2018,0.0,1.0,0.0,33,@nytimes
433,0.0,Wed Jun 13 01:14:05 +0000 2018,0.0,1.0,0.0,34,@nytimes
434,0.0,Wed Jun 13 01:02:06 +0000 2018,0.0,1.0,0.0,35,@nytimes
435,0.0516,Wed Jun 13 00:47:05 +0000 2018,0.102,0.787,0.11,36,@nytimes
436,-0.4939,Wed Jun 13 00:42:46 +0000 2018,0.132,0.868,0.0,37,@nytimes
437,0.6369,Wed Jun 13 00:32:02 +0000 2018,0.0,0.729,0.271,38,@nytimes
438,-0.5106,Wed Jun 13 00:02:04 +0000 2018,0.18,0.82,0.0,39,@nytimes
439,0.0,Tue Jun 12 23:47:01 +0000 2018,0.0,1.0,0.0,40,@nytimes
440,-0.5574,Wed Jun 13 03:36:04 +0000 2018,0.141,0.859,0.0,41,@nytimes
441,0.4019,Wed Jun 13 03:22:01 +0000 2018,0.0,0.803,0.197,42,@nytimes
442,0.0,Wed Jun 13 03:11:03 +0000 2018,0.0,1.0,0.0,43,@nytimes
443,0.0,Wed Jun 13 03:02:03 +0000 2018,0.0,1.0,0.0,44,@nytimes
444,0.0,Wed Jun 13 02:51:02 +0000 2018,0.0,1.0,0.0,45,@nytimes
445,-0.128,Wed Jun 13 02:43:30 +0000 2018,0.081,0.919,0.0,46,@nytimes
446,0.0,Wed Jun 13 02:32:04 +0000 2018,0.0,1.0,0.0,47,@nytimes
447,0.4019,Wed Jun 13 02:21:04 +0000 2018,0.0,0.903,0.097,48,@nytimes
448,0.0,Wed Jun 13 02:12:03 +0000 2018,0.0,1.0,0.0,49,@nytimes
449,0.7003,Wed Jun 13 02:02:05 +0000 2018,0.0,0.734,0.266,50,@nytimes
450,0.0,Wed Jun 13 01:47:04 +0000 2018,0.0,1.0,0.0,51,@nytimes
451,0.0,Wed Jun 13 01:32:03 +0000 2018,0.0,1.0,0.0,52,@nytimes
452,0.0,Wed Jun 13 01:22:00 +0000 2018,0.0,1.0,0.0,53,@nytimes
453,0.0,Wed Jun 13 01:14:05 +0000 2018,0.0,1.0,0.0,54,@nytimes
454,0.0,Wed Jun 13 01:02:06 +0000 2018,0.0,1.0,0.0,55,@nytimes
455,0.0516,Wed Jun 13 00:47:05 +0000 2018,0.102,0.787,0.11,56,@nytimes
456,-0.4939,Wed Jun 13 00:42:46 +0000 2018,0.132,0.868,0.0,57,@nytimes
457,0.6369,Wed Jun 13 00:32:02 +0000 2018,0.0,0.729,0.271,58,@nytimes
458,-0.5106,Wed Jun 13 00:02:04 +0000 2018,0.18,0.82,0.0,59,@nytimes
459,0.0,Tue Jun 12 23:47:01 +0000 2018,0.0,1.0,0.0,60,@nytimes
460,-0.5574,Wed Jun 13 03:36:04 +0000 2018,0.141,0.859,0.0,61,@nytimes
461,0.4019,Wed Jun 13 03:22:01 +0000 2018,0.0,0.803,0.197,62,@nytimes
462,0.0,Wed Jun 13 03:11:03 +0000 2018,0.0,1.0,0.0,63,@nytimes
463,0.0,Wed Jun 13 03:02:03 +0000 2018,0.0,1.0,0.0,64,@nytimes
464,0.0,Wed Jun 13 02:51:02 +0000 2018,0.0,1.0,0.0,65,@nytimes
465,-0.128,Wed Jun 13 02:43:30 +0000 2018,0.081,0.919,0.0,66,@nytimes
466,0.0,Wed Jun 13 02:32:04 +0000 2018,0.0,1.0,0.0,67,@nytimes
467,0.4019,Wed Jun 13 02:21:04 +0000 2018,0.0,0.903,0.097,68,@nytimes
468,0.0,Wed Jun 13 02:12:03 +0000 2018,0.0,1.0,0.0,69,@nytimes
469,0.7003,Wed Jun 13 02:02:05 +0000 2018,0.0,0.734,0.266,70,@nytimes
470,0.0,Wed Jun 13 01:47:04 +0000 2018,0.0,1.0,0.0,71,@nytimes
