,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Rikitea,20,PF,1528421089,100,-23.12,-134.97,72.71,14.99
1,Garrel,0,DE,1528420800,67,52.96,8.02,62.6,3.36
2,Ushuaia,75,AR,1528419600,60,-54.81,-68.31,41.0,11.41
3,Mount Gambier,100,AU,1528421349,99,-37.83,140.78,53.45,4.7
4,Tuktoyaktuk,75,CA,1528419600,100,69.44,-133.03,37.4,12.75
5,Madang,12,PG,1528422096,85,-5.21,145.81,83.8,4.29
6,Qaqortoq,75,GL,1528419000,93,60.72,-46.03,39.2,3.36
7,Yellowknife,75,CA,1528419600,44,62.45,-114.38,60.8,11.41
8,Butaritari,48,KI,1528421270,100,3.07,172.79,84.68,5.93
9,Mazabuka,0,ZM,1528422097,82,-15.86,27.75,38.89,2.73
10,Mataura,12,NZ,1528421240,100,-46.19,168.86,40.67,4.7
11,Hithadhoo,8,MV,1528421234,100,-0.6,73.08,82.7,12.97
12,Puerto Ayora,20,EC,1528416000,61,-0.74,-90.35,77.0,16.11
13,Puerto Ayora,20,EC,1528416000,61,-0.74,-90.35,77.0,16.11
14,Sao Jose da Coroa Grande,100,BR,1528422098,100,-8.9,-35.15,74.98,4.41
15,Ushuaia,75,AR,1528419600,60,-54.81,-68.31,41.0,11.41
16,Ancud,92,CL,1528421317,94,-41.87,-73.83,49.67,12.75
17,Nuuk,92,GL,1528419000,100,64.17,-51.74,33.8,25.28
18,Kiunga,24,PG,1528422099,79,-6.12,141.3,81.91,2.95
19,Monterey,1,US,1528419300,63,36.6,-121.89,68.0,8.05
20,Cape Town,80,ZA,1528421069,100,-33.93,18.42,57.68,6.04
21,Hobart,40,AU,1528419600,44,-42.88,147.33,60.8,25.28
22,Nikolskoye,40,RU,1528419600,75,59.7,30.79,46.4,11.18
23,Slave Lake,75,CA,1528419600,23,55.28,-114.77,77.0,12.75
24,Punta Arenas,90,CL,1528419600,69,-53.16,-70.91,39.2,12.75
25,Busselton,92,AU,1528421242,100,-33.64,115.35,56.42,4.7
26,Paamiut,76,GL,1528422101,98,61.99,-49.67,36.1,3.29
27,Bathsheba,20,BB,1528419600,78,13.22,-59.52,78.8,18.34
28,Banda Aceh,12,ID,1528421954,71,5.56,95.32,85.6,6.64
29,Kamenka,0,RU,1528422101,64,53.19,44.05,47.62,8.88
30,Naryan-Mar,0,RU,1528422102,92,67.67,53.09,40.87,4.41
31,Aksu,0,KZ,1528419600,52,52.04,76.93,69.8,8.95
32,Upernavik,92,GL,1528421250,90,72.79,-56.15,32.93,9.84
33,Rikitea,20,PF,1528421089,100,-23.12,-134.97,72.71,14.99
34,Rikitea,20,PF,1528421089,100,-23.12,-134.97,72.71,14.99
35,Port Hardy,90,CA,1528419600,87,50.7,-127.42,53.6,4.7
36,Whitehorse,75,CA,1528419600,33,60.72,-135.06,59.0,4.7
37,Talnakh,8,RU,1528420999,73,69.49,88.39,42.65,18.01
38,Ushuaia,75,AR,1528419600,60,-54.81,-68.31,41.0,11.41
39,Upernavik,92,GL,1528421250,90,72.79,-56.15,32.93,9.84
40,Pochutla,32,MX,1528421275,100,15.74,-96.47,84.23,3.47
41,Akdepe,0,TM,1528419600,46,42.05,59.39,73.4,9.17
42,Ancud,92,CL,1528421317,94,-41.87,-73.83,49.67,12.75
43,Issoudun,0,FR,1528421400,100,46.95,1.99,62.6,2.24
44,Qaanaaq,0,GL,1528421050,96,77.48,-69.36,28.25,6.49
45,Kaitangata,0,NZ,1528421237,92,-46.28,169.85,41.39,5.59
46,Chuy,0,UY,1528421339,83,-33.69,-53.46,48.68,20.8
47,Dikson,64,RU,1528421068,97,73.51,80.55,33.02,17.11
48,Byron Bay,75,AU,1528419600,88,-28.65,153.62,64.4,6.93
49,Chunskiy,20,RU,1528422107,74,56.08,99.63,60.76,3.4
50,Koshurnikovo,0,RU,1528422107,65,54.3,93.39,58.87,3.96
51,Mataura,12,NZ,1528421240,100,-46.19,168.86,40.67,4.7
52,Jamestown,92,AU,1528421264,47,-33.21,138.6,58.67,7.49
53,Pampa,1,US,1528420800,44,35.54,-100.96,87.8,18.34
54,Manavalakurichi,75,IN,1528419600,88,8.13,77.3,78.8,11.41
55,Klaksvik,0,FO,1528419000,81,62.23,-6.59,46.4,2.68
56,Port Hardy,90,CA,1528419600,87,50.7,-127.42,53.6,4.7
57,Albany,20,US,1528419300,60,42.65,-73.75,69.8,5.82
58,Sandpoint,40,US,1528419360,23,48.28,-116.55,80.6,4.7
59,Canico,40,PT,1528421400,82,32.63,-16.85,66.2,10.29
60,Kodiak,1,US,1528419180,69,39.95,-94.76,82.4,4.7
61,Khatanga,0,RU,1528421261,64,71.98,102.47,63.35,15.66
62,Flinders,0,AU,1528416000,93,-34.58,150.85,53.6,5.97
63,Katsuura,75,JP,1528416000,100,33.93,134.5,69.8,4.7
64,Ilulissat,80,GL,1528419000,74,69.22,-51.1,37.4,4.7
65,Tura,20,IN,1528421343,96,25.52,90.21,76.4,4.25
66,Qaanaaq,0,GL,1528421050,96,77.48,-69.36,28.25,6.49
67,Talnakh,8,RU,1528420999,73,69.49,88.39,42.65,18.01
68,Pinega,88,RU,1528422143,89,64.7,43.39,42.4,3.29
69,Hasaki,75,JP,1528417800,73,35.73,140.83,77.0,10.29
70,Paita,0,PE,1528422112,90,-5.09,-81.11,65.35,4.97
71,Punta Arenas,90,CL,1528419600,69,-53.16,-70.91,39.2,12.75
72,New Norfolk,40,AU,1528419600,44,-42.78,147.06,60.8,25.28
73,Cape Town,80,ZA,1528421069,100,-33.93,18.42,57.68,6.04
74,Geraldton,20,CA,1528419600,52,49.72,-86.95,64.4,2.24
75,Kurilsk,24,RU,1528422114,97,45.23,147.88,46.45,10.78
76,Carnarvon,0,ZA,1528421279,60,-30.97,22.13,41.66,8.95
77,Punta Arenas,90,CL,1528419600,69,-53.16,-70.91,39.2,12.75
78,East London,12,ZA,1528421359,100,-33.02,27.91,67.49,15.99
79,Tshane,0,BW,1528422115,70,-24.02,21.87,36.28,2.95
80,Mataura,12,NZ,1528421240,100,-46.19,168.86,40.67,4.7
81,Kodiak,1,US,1528419180,69,39.95,-94.76,82.4,4.7
82,Bathsheba,20,BB,1528419600,78,13.22,-59.52,78.8,18.34
83,Port Alfred,80,ZA,1528421321,100,-33.59,26.89,64.34,11.86
84,Bluff,24,AU,1528421241,64,-23.58,149.07,67.67,12.64
85,Jamestown,92,AU,1528421264,47,-33.21,138.6,58.67,7.49
86,Atuona,0,PF,1528421285,100,-9.8,-139.03,80.27,10.51
87,Lebu,76,ET,1528421265,96,8.96,38.73,50.93,2.8
88,Sur,0,OM,1528422117,74,22.57,59.53,91.72,7.99
89,Jamestown,92,AU,1528421264,47,-33.21,138.6,58.67,7.49
90,Alamor,75,EC,1528419600,83,-4.02,-80.02,73.4,5.82
91,Cape Town,80,ZA,1528421069,100,-33.93,18.42,57.68,6.04
92,Rikitea,20,PF,1528421089,100,-23.12,-134.97,72.71,14.99
93,Georgetown,0,GY,1528419600,94,6.8,-58.16,77.0,4.7
94,Kapaa,75,US,1528419360,83,22.08,-159.32,78.8,12.75
95,Cape Town,80,ZA,1528421069,100,-33.93,18.42,57.68,6.04
96,Lufilufi,88,WS,1528422119,100,-13.87,-171.6,83.62,11.45
97,Carnarvon,0,ZA,1528421279,60,-30.97,22.13,41.66,8.95
98,Yellowknife,75,CA,1528419600,44,62.45,-114.38,60.8,11.41
99,Aklavik,40,CA,1528419600,43,68.22,-135.01,51.8,11.41
100,Kodiak,1,US,1528419180,69,39.95,-94.76,82.4,4.7
101,New Norfolk,40,AU,1528419600,44,-42.78,147.06,60.8,25.28
102,Codrington,80,AU,1528421342,98,-28.95,153.24,60.92,3.24
103,Prince George,75,CA,1528419600,55,53.92,-122.75,60.8,3.36
