,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
200,0.0,Wed Jun 13 03:31:03 +0000 2018,0.0,1.0,0.0,1,@CNN
201,-0.0258,Wed Jun 13 03:16:04 +0000 2018,0.139,0.728,0.132,2,@CNN
202,0.743,Wed Jun 13 03:01:00 +0000 2018,0.0,0.73,0.27,3,@CNN
203,-0.1027,Wed Jun 13 02:46:07 +0000 2018,0.057,0.943,0.0,4,@CNN
204,-0.0258,Wed Jun 13 02:38:45 +0000 2018,0.197,0.563,0.239,5,@CNN
205,0.3612,Wed Jun 13 02:36:36 +0000 2018,0.061,0.789,0.151,6,@CNN
206,0.0,Wed Jun 13 02:36:07 +0000 2018,0.0,1.0,0.0,7,@CNN
207,-0.4767,Wed Jun 13 02:32:31 +0000 2018,0.134,0.866,0.0,8,@CNN
208,0.0,Wed Jun 13 02:32:18 +0000 2018,0.0,1.0,0.0,9,@CNN
209,0.5859,Wed Jun 13 02:32:01 +0000 2018,0.0,0.858,0.142,10,@CNN
210,-0.2732,Wed Jun 13 02:31:29 +0000 2018,0.104,0.896,0.0,11,@CNN
211,-0.3612,Wed Jun 13 02:31:08 +0000 2018,0.197,0.717,0.085,12,@CNN
212,-0.4588,Wed Jun 13 02:27:25 +0000 2018,0.24,0.66,0.101,13,@CNN
213,0.7184,Wed Jun 13 02:26:08 +0000 2018,0.0,0.75,0.25,14,@CNN
214,0.6486,Wed Jun 13 02:21:06 +0000 2018,0.0,0.773,0.227,15,@CNN
215,0.4871,Wed Jun 13 02:17:26 +0000 2018,0.0,0.884,0.116,16,@CNN
216,0.7184,Wed Jun 13 02:15:04 +0000 2018,0.0,0.7,0.3,17,@CNN
217,0.5859,Wed Jun 13 02:11:07 +0000 2018,0.0,0.725,0.275,18,@CNN
218,0.0,Wed Jun 13 02:06:04 +0000 2018,0.0,1.0,0.0,19,@CNN
219,-0.4019,Wed Jun 13 02:01:07 +0000 2018,0.226,0.658,0.115,20,@CNN
220,0.0,Wed Jun 13 03:31:03 +0000 2018,0.0,1.0,0.0,21,@CNN
221,-0.0258,Wed Jun 13 03:16:04 +0000 2018,0.139,0.728,0.132,22,@CNN
222,0.743,Wed Jun 13 03:01:00 +0000 2018,0.0,0.73,0.27,23,@CNN
223,-0.1027,Wed Jun 13 02:46:07 +0000 2018,0.057,0.943,0.0,24,@CNN
224,-0.0258,Wed Jun 13 02:38:45 +0000 2018,0.197,0.563,0.239,25,@CNN
225,0.3612,Wed Jun 13 02:36:36 +0000 2018,0.061,0.789,0.151,26,@CNN
226,0.0,Wed Jun 13 02:36:07 +0000 2018,0.0,1.0,0.0,27,@CNN
227,-0.4767,Wed Jun 13 02:32:31 +0000 2018,0.134,0.866,0.0,28,@CNN
228,0.0,Wed Jun 13 02:32:18 +0000 2018,0.0,1.0,0.0,29,@CNN
229,0.5859,Wed Jun 13 02:32:01 +0000 2018,0.0,0.858,0.142,30,@CNN
