,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User
300,0.0,Tue Jun 12 14:10:45 +0000 2018,0.0,1.0,0.0,1,@Fox
301,0.7346,Tue Jun 12 12:23:23 +0000 2018,0.0,0.801,0.199,2,@Fox
302,0.6808,Tue Jun 12 09:41:33 +0000 2018,0.0,0.417,0.583,3,@Fox
303,-0.8585,Mon Jun 11 18:26:16 +0000 2018,0.345,0.655,0.0,4,@Fox
304,0.6369,Mon Jun 11 14:05:15 +0000 2018,0.0,0.755,0.245,5,@Fox
305,0.6369,Mon Jun 11 08:49:11 +0000 2018,0.0,0.658,0.342,6,@Fox
306,-0.296,Mon Jun 11 08:31:47 +0000 2018,0.115,0.885,0.0,7,@Fox
307,0.0,Mon Jun 11 08:06:02 +0000 2018,0.0,1.0,0.0,8,@Fox
308,0.4939,Sat Jun 09 11:32:40 +0000 2018,0.107,0.656,0.238,9,@Fox
309,0.4767,Sat Jun 09 10:36:55 +0000 2018,0.0,0.773,0.227,10,@Fox
310,-0.0258,Sat Jun 09 10:09:44 +0000 2018,0.143,0.757,0.1,11,@Fox
311,0.4404,Fri Jun 08 19:36:53 +0000 2018,0.162,0.513,0.325,12,@Fox
312,-0.188,Fri Jun 08 19:35:39 +0000 2018,0.137,0.758,0.105,13,@Fox
313,-0.4939,Fri Jun 08 19:29:48 +0000 2018,0.154,0.846,0.0,14,@Fox
314,0.2732,Fri Jun 08 18:28:26 +0000 2018,0.07,0.804,0.126,15,@Fox
315,0.0,Fri Jun 08 18:23:36 +0000 2018,0.0,1.0,0.0,16,@Fox
316,0.0,Fri Jun 08 16:54:52 +0000 2018,0.0,1.0,0.0,17,@Fox
317,-0.3818,Fri Jun 08 13:11:00 +0000 2018,0.289,0.476,0.235,18,@Fox
318,0.128,Fri Jun 08 13:00:15 +0000 2018,0.096,0.756,0.148,19,@Fox
319,0.4196,Fri Jun 08 12:43:15 +0000 2018,0.103,0.642,0.255,20,@Fox
320,0.0,Tue Jun 12 14:10:45 +0000 2018,0.0,1.0,0.0,21,@Fox
321,0.7346,Tue Jun 12 12:23:23 +0000 2018,0.0,0.801,0.199,22,@Fox
322,0.6808,Tue Jun 12 09:41:33 +0000 2018,0.0,0.417,0.583,23,@Fox
323,-0.8585,Mon Jun 11 18:26:16 +0000 2018,0.345,0.655,0.0,24,@Fox
324,0.6369,Mon Jun 11 14:05:15 +0000 2018,0.0,0.755,0.245,25,@Fox
325,0.6369,Mon Jun 11 08:49:11 +0000 2018,0.0,0.658,0.342,26,@Fox
326,-0.296,Mon Jun 11 08:31:47 +0000 2018,0.115,0.885,0.0,27,@Fox
327,0.0,Mon Jun 11 08:06:02 +0000 2018,0.0,1.0,0.0,28,@Fox
328,0.4939,Sat Jun 09 11:32:40 +0000 2018,0.107,0.656,0.238,29,@Fox
329,0.4767,Sat Jun 09 10:36:55 +0000 2018,0.0,0.773,0.227,30,@Fox
330,-0.0258,Sat Jun 09 10:09:44 +0000 2018,0.143,0.757,0.1,31,@Fox
331,0.4404,Fri Jun 08 19:36:53 +0000 2018,0.162,0.513,0.325,32,@Fox
332,-0.188,Fri Jun 08 19:35:39 +0000 2018,0.137,0.758,0.105,33,@Fox
333,-0.4939,Fri Jun 08 19:29:48 +0000 2018,0.154,0.846,0.0,34,@Fox
334,0.2732,Fri Jun 08 18:28:26 +0000 2018,0.07,0.804,0.126,35,@Fox
335,0.0,Fri Jun 08 18:23:36 +0000 2018,0.0,1.0,0.0,36,@Fox
336,0.0,Fri Jun 08 16:54:52 +0000 2018,0.0,1.0,0.0,37,@Fox
337,-0.3818,Fri Jun 08 13:11:00 +0000 2018,0.289,0.476,0.235,38,@Fox
338,0.128,Fri Jun 08 13:00:15 +0000 2018,0.096,0.756,0.148,39,@Fox
339,0.4196,Fri Jun 08 12:43:15 +0000 2018,0.103,0.642,0.255,40,@Fox
340,0.0,Tue Jun 12 14:10:45 +0000 2018,0.0,1.0,0.0,41,@Fox
341,0.7346,Tue Jun 12 12:23:23 +0000 2018,0.0,0.801,0.199,42,@Fox
342,0.6808,Tue Jun 12 09:41:33 +0000 2018,0.0,0.417,0.583,43,@Fox
343,-0.8585,Mon Jun 11 18:26:16 +0000 2018,0.345,0.655,0.0,44,@Fox
344,0.6369,Mon Jun 11 14:05:15 +0000 2018,0.0,0.755,0.245,45,@Fox
345,0.6369,Mon Jun 11 08:49:11 +0000 2018,0.0,0.658,0.342,46,@Fox
346,-0.296,Mon Jun 11 08:31:47 +0000 2018,0.115,0.885,0.0,47,@Fox
347,0.0,Mon Jun 11 08:06:02 +0000 2018,0.0,1.0,0.0,48,@Fox
