,Unnamed: 0,City,"Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,Overall Crime
0,5,Aliso Viejo,37.0,0.0,4.0,8.0,25.0,439.0,87.0,324.0,28.0,3.0,960.0
1,8,Anaheim,1161.0,7.0,88.0,492.0,574.0,8473.0,1594.0,5869.0,1010.0,47.0,19323.0
2,44,Brea,71.0,1.0,3.0,28.0,39.0,1471.0,197.0,1200.0,74.0,4.0,3132.0
3,49,Buena Park,241.0,0.0,13.0,82.0,146.0,2007.0,355.0,1270.0,382.0,10.0,4555.0
4,93,Costa Mesa,240.0,1.0,34.0,93.0,112.0,3194.0,458.0,2454.0,282.0,10.0,6971.0
5,100,Cypress,63.0,0.0,2.0,37.0,24.0,787.0,121.0,584.0,82.0,5.0,1805.0
6,102,Dana Point,66.0,0.0,2.0,13.0,51.0,595.0,129.0,438.0,28.0,4.0,1428.0
7,144,Fountain Valley,103.0,3.0,5.0,28.0,67.0,1292.0,266.0,951.0,75.0,9.0,2943.0
8,148,Fullerton,425.0,3.0,26.0,145.0,251.0,3847.0,680.0,2825.0,342.0,22.0,8714.0
9,151,Garden Grove,539.0,3.0,22.0,184.0,330.0,3590.0,810.0,2318.0,462.0,13.0,8422.0
10,179,Huntington Beach,449.0,2.0,32.0,109.0,306.0,4673.0,767.0,3621.0,285.0,28.0,10451.0
11,189,Irvine,120.0,0.0,24.0,40.0,56.0,2798.0,480.0,2197.0,121.0,23.0,6048.0
12,199,Laguna Beach,78.0,0.0,5.0,8.0,65.0,474.0,82.0,379.0,13.0,1.0,1304.0
13,200,Laguna Hills,43.0,0.0,4.0,14.0,25.0,510.0,78.0,404.0,28.0,4.0,1310.0
14,201,Laguna Niguel,40.0,2.0,0.0,10.0,28.0,641.0,107.0,504.0,30.0,1.0,1564.0
15,202,Laguna Woods,15.0,2.0,0.0,7.0,6.0,104.0,14.0,82.0,8.0,0.0,440.0
16,203,La Habra,169.0,0.0,18.0,60.0,91.0,1236.0,258.0,846.0,132.0,1.0,3014.0
17,206,Lake Forest,92.0,0.0,8.0,32.0,52.0,959.0,161.0,736.0,62.0,5.0,2313.0
18,213,La Palma,9.0,0.0,0.0,5.0,4.0,218.0,65.0,141.0,12.0,2.0,669.0
19,229,Los Alamitos,14.0,0.0,1.0,7.0,6.0,279.0,74.0,179.0,26.0,1.0,816.0
20,252,Mission Viejo,70.0,0.0,5.0,19.0,46.0,1135.0,168.0,917.0,50.0,9.0,2671.0
21,275,Newport Beach,117.0,0.0,4.0,42.0,71.0,2176.0,425.0,1617.0,134.0,12.0,4873.0
22,285,Orange,150.0,3.0,3.0,56.0,88.0,2569.0,404.0,1944.0,221.0,13.0,5736.0
23,310,Placentia,85.0,0.0,5.0,23.0,57.0,844.0,158.0,614.0,72.0,5.0,2173.0
24,322,Rancho Santa Margarita,26.0,3.0,4.0,5.0,14.0,364.0,83.0,272.0,9.0,3.0,1105.0
25,349,San Clemente,61.0,3.0,1.0,24.0,33.0,782.0,199.0,526.0,57.0,4.0,2039.0
26,359,San Juan Capistrano,41.0,0.0,3.0,15.0,23.0,503.0,116.0,348.0,39.0,5.0,1452.0
27,368,Santa Ana,1510.0,28.0,88.0,719.0,675.0,6580.0,1116.0,4189.0,1275.0,139.0,16687.0
28,382,Seal Beach,47.0,1.0,4.0,5.0,37.0,524.0,122.0,374.0,28.0,5.0,1529.0
29,401,Stanton,156.0,2.0,1.0,63.0,90.0,643.0,151.0,405.0,87.0,4.0,2003.0
30,420,Tustin,128.0,1.0,9.0,56.0,62.0,1567.0,237.0,1186.0,144.0,14.0,3824.0
31,431,Villa Park,6.0,0.0,0.0,1.0,5.0,69.0,20.0,48.0,1.0,0.0,581.0
32,442,Westminster,259.0,2.0,17.0,102.0,138.0,2539.0,419.0,1848.0,272.0,10.0,6048.0
33,455,Yorba Linda,58.0,0.0,3.0,9.0,46.0,804.0,150.0,621.0,33.0,2.0,2181.0
